actividad	centro	dni	quien	importe	date	tipo
TRONZADORAS PARA  CORTE DE TUBERIAS DE  FUNDICION CON FRENO DE DISCO DE PARE RAPIDO	Ayuntamiento		OVIDIO-RIN-SA	7840	22/11/2018	Suministros(Menor)
Suministro Equipos Videovigilancia Seminario	Ayuntamiento		PROYECTOS ESTUDIOS Y PRESUPUESTOS S.L.	14619	22/11/2018	Suministros(Menor)
OBRAS DE ACONDICIONAMIENTO DE FACHADA EN TEATRO PRINCIPAL	Ayuntamiento		IMESAPI S.A.	36511	20/11/2018	Obras(Menor)
Suministro de equipos multifuncionales, en régimen de alquiler (26 equipos multifuncionales con fax del lote A, 5 equipos multifuncionales con fax del lote B)”	Ayuntamiento		CANON ESPAÑA, S.A	74821	20/11/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (lotes 2 y 3)	Ayuntamiento		MULTIESTILO S.L.	42304	20/11/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (lotes 2 y 3)	Ayuntamiento		OFITA INTERIORES S.A.	24427	20/11/2018	Suministros(Basado en Acuerdo Marco)
ACONDICIONAMIENTO DE CAMINOS MUNICIPALES EN  GARRAPINILLOS YVENTA DEL OLIVAR (ZONA OESTE )	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	26350	20/11/2018	Obras(Menor)
*ACONDICIONAMIENTO DE CAMINOS MUNICIPALESEN EL BARRIO DE MOVERA(zoNA ESTE)	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	19740	20/11/2018	Obras(Menor)
RESTAURACION DE LOS ARTESONADOS DEL PALACIO DE AYERBE	Ayuntamiento		el barco	16200	20/11/2018	Obras(Menor)
ADQUISICION SISTEMA LIMS PARA LA GESTION DE LABORATORIO DEL INSTITUTO MUNICIPAL DE SALUD PUBLICA.	Ayuntamiento		INSTRUMENTACION Y COMPONENTES	14950	19/11/2018	Suministros(Menor)
ADQUISICION ORDENADORES PORTATILES	Ayuntamiento		CLD INFORMATICA	8552	19/11/2018	Suministros(Menor)
SUMINISTRO EQUIPOS BSR INFRAESTRUCTURA TETRA	Ayuntamiento		TELTRONIC SAU	14938	16/11/2018	Suministros(Menor)
 Obtención de cartografía a escala 1/500 mediante restitución fotogramétrica 	Ayuntamiento		GESTIÓN Y SERVICIOS FOTOGRAMÉTRICOS, S.L.	19669	15/11/2018	Servicios(Abierto Simplificado)
MEJORA DE LA EFICIENCIA ENERGETICA Y CONFORT CLIMATIZACION BIBLIOTECA DEL C.C. DE GARRAPINILLOS	Ayuntamiento		TUBEI-SL	39990	14/11/2018	Obras(Menor)
Cambio caldera para mejora de la eficiencia energetica en la residencia municipal  Casa de Amparo.	Ayuntamiento		ECHEMAN S.A.	29469	14/11/2018	Obras(Menor)
ADQUISICION PLOTER ESCANER	Ayuntamiento		RICOH-ESPANA-SLU	7925	14/11/2018	Suministros(Menor)
 Suministro de un equipo analizador de carbono orgánico total (TOC) y nitrógeno total en muestras ambientales. 	Ayuntamiento		IZASA SCIENTIFIC S.L.U.	27850	13/11/2018	Suministros(Abierto Simplificado)
Acondicionamiento terreno Ps. de los Platanos CRT para uso publico (Presupuestos Participativos)	Ayuntamiento		CESAR AUGUSTA 2020 S.L.	9445	12/11/2018	Obras(Menor)
Adecuacion de solares para aparcamiento en Almadieros del Roncal y Selva de Oza	Ayuntamiento		CESAR AUGUSTA 2020 S.L.	28330	12/11/2018	Obras(Menor)
PARA LA RENOVACION PARCIAL DE SISTEMA DE VIDEO	Ayuntamiento		AUDIO IMPORT PROFESIONAL S.L.	10525	12/11/2018	Suministros(Menor)
MODIFICACION DE PUNTO DE SUMINISTRO DE ENERGIA EN CALLE EMBARCADERO Nº 4 (18-066)	Ayuntamiento		ENRIQUE COCA, S.A.	6451	09/11/2018	Obras(Menor)
SUMINISTRO DE MATERIALES, ALQUILER DE MAQUINARIA DE MOVIMIENTO DE TIERRAS, CON CONDUCTOR Y OTROS MEDIOS PARA EL MANTENIMIENTO Y REPARACIÓN DE LOA CAMINOS MUNICIPALES NO ASFALTADOS	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	10299	09/11/2018	Suministros(Abierto)
SUMINISTRO DE MATERIALES, ALQUILER DE MAQUINARIA DE MOVIMIENTO DE TIERRAS, CON CONDUCTOR Y OTROS MEDIOS PARA EL MANTENIMIENTO Y REPARACIÓN DE LOA CAMINOS MUNICIPALES NO ASFALTADOS	Ayuntamiento		EXCAVACIONES GRASA S.L	11404	09/11/2018	Suministros(Abierto)
Adquisición y suministro de diez vehículos turismo híbridos con destino a la Policía Local de Zaragoza. 	Ayuntamiento		ARTAL VEHÍCULOS ZARAGOZA S.L.,	189256	09/11/2018	Suministros(Abierto)
SUMINISTRO DE MATERIALES, ALQUILER DE MAQUINARIA DE MOVIMIENTO DE TIERRAS, CON CONDUCTOR Y OTROS MEDIOS PARA EL MANTENIMIENTO Y REPARACIÓN DE LOA CAMINOS MUNICIPALES NO ASFALTADOS	Ayuntamiento		EXCAVACIONES GRASA S.L	11404	09/11/2018	Suministros(Abierto)
Adecuacion de solar para uso publico deportivo en Cn. Juslibol, 61	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	15431	08/11/2018	Obras(Menor)
RENOVACION DE BICICLETAS Y CICLOS DE TRES RUEDAS CON DESTINO A EL PARQUE INFANTIL DE TRAF. DE LA PLZ	Ayuntamiento		CICLOS ARAGON S.A.	4759	08/11/2018	Suministros(Menor)
Acondicionamiento de una parte del solar sito en Juan Bautista Labana con uso publico y deportivo	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	28900	08/11/2018	Obras(Menor)
Suministro de mortero y cemento, para trabajos de las Brigadas de Conservacion de Infraestructura	Ayuntamiento		MATERIALES DE CONSTRUCCION ESPORRIN SL	3354	07/11/2018	Suministros(Menor)
